Event	ID	Name			Wwise Object Path	Notes
	278617630	Play_Ambience			\Default Work Unit\SFX\Ambience\Play_Ambience	
	708294615	Alien_Artifact			\Default Work Unit\SFX\Alien_Artifact	
	1201273840	Audio_Log_3			\Default Work Unit\Dialogue\Audio Logs\Audio_Log_3	
	1201273841	Audio_Log_2			\Default Work Unit\Dialogue\Audio Logs\Audio_Log_2	
	1201273842	Audio_Log_1			\Default Work Unit\Dialogue\Audio Logs\Audio_Log_1	
	1201273845	Audio_Log_6			\Default Work Unit\Dialogue\Audio Logs\Audio_Log_6	
	1201273846	Audio_Log_5			\Default Work Unit\Dialogue\Audio Logs\Audio_Log_5	
	1201273847	Audio_Log_4			\Default Work Unit\Dialogue\Audio Logs\Audio_Log_4	
	1432588725	Select			\Default Work Unit\SFX\UI\Select	
	1559875400	Back			\Default Work Unit\SFX\UI\Back	
	2477713992	Stop_Ambience			\Default Work Unit\Stop Commands\Stop_Ambience	
	2932040671	Play_Music			\Default Work Unit\Play_Music	
	3092587493	Pause			\Default Work Unit\SFX\UI\Pause	
	3109796241	Play_Xeno_Ambience			\Default Work Unit\Dialogue\Play_Xeno_Ambience	
	3336051688	Play_Xeno_Monologue			\Default Work Unit\Dialogue\Play_Xeno_Monologue	
	4218701743	Stop_Infected_Audio			\Default Work Unit\Stop Commands\Stop_Infected_Audio	

Switch Group	ID	Name			Wwise Object Path	Notes
	3238956108	Player_Location			\Default Work Unit\Player_Location	

Switch	ID	Name	Switch Group			Notes
	133642231	General	Player_Location			
	2068062714	Bridge	Player_Location			
	2198133169	Hallway	Player_Location			
	2646389459	Medbay	Player_Location			
	2979494847	Escape_Pod_Hatch	Player_Location			
	2981836174	Warehouse	Player_Location			
	3057088135	Ship_Hull	Player_Location			
	3489426920	Safe_Room	Player_Location			

State Group	ID	Name			Wwise Object Path	Notes
	3826569560	Music_State			\Default Work Unit\Music_State	
	4071102763	Music_Segments			\Default Work Unit\Music_Segments	

State	ID	Name	State Group			Notes
	89505537	Gameplay	Music_State			
	748895195	None	Music_State			
	2005704188	Main_Menu	Music_State			
	2201105581	Credits	Music_State			
	748895195	None	Music_Segments			
	779278001	Death	Music_Segments			
	1281810935	Start	Music_Segments			
	2005704188	Main_Menu	Music_Segments			
	2201105581	Credits	Music_Segments			
	2983809730	Upgrade_4	Music_Segments			
	2983809732	Upgrade_2	Music_Segments			
	2983809733	Upgrade_3	Music_Segments			
	2983809735	Upgrade_1	Music_Segments			
	4229539972	Escaped	Music_Segments			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3505704881	Health_Bar			\Default Work Unit\UI\Health_Bar	
	3691056935	Noise_Meter			\Default Work Unit\UI\Noise_Meter	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6329621	sfx_ambience_ship_hull	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\SFX\sfx_ambience_ship_hull_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game SFX\Ambience\Ambience Switch\Ship Hull Ambience Loop\sfx_ambience_ship_hull		8256144
	21019540	Progression_1_2_M1-49	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\SFX\Progression_1_2_M1-49_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Silent_Space_Music\Story Progression 1\Upgrade 1\Progression_1_2_M1-49		16934464
	30339314	Base_Layer_1_M1-49	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\SFX\Base_Layer_1_M1-49_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Silent_Space_Music\Base Music\Noise Meter Base\Base_Layer_1_M1-49		16934464
	61499553	Victory_Stinger_Ending_7_M49-53	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\SFX\Victory_Stinger_Ending_7_M49-53_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Silent_Space_Music\Victory\Normal Ending\Victory_Stinger_Ending_7_M49-53		1411264
	69293566	XENO-ENCEPHALON_MONOLOGUE_10	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\Voices\English(US)\XENO-ENCEPHALON_MONOLOGUE_10_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game SFX\Dialogue\Xeno-Encephalon\Xeno-encephalon Monologues\XENO-ENCEPHALON_MONOLOGUE_10		768192
	74916476	XENO-ENCEPHALON_MONOLOGUE_14	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\Voices\English(US)\XENO-ENCEPHALON_MONOLOGUE_14_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game SFX\Dialogue\Xeno-Encephalon\Xeno-encephalon Monologues\XENO-ENCEPHALON_MONOLOGUE_14		648192
	84063088	Victory_Stinger_Ending_1_M49-53	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\SFX\Victory_Stinger_Ending_1_M49-53_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Silent_Space_Music\Victory\Normal Ending\Victory_Stinger_Ending_1_M49-53		1411264
	96754927	Victory_Stinger_Ending_9_M49-53	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\SFX\Victory_Stinger_Ending_9_M49-53_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Silent_Space_Music\Victory\Normal Ending\Victory_Stinger_Ending_9_M49-53		1411264
	112016936	Victory_Stinger_Ending_3_M49-53	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\SFX\Victory_Stinger_Ending_3_M49-53_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Silent_Space_Music\Victory\Normal Ending\Victory_Stinger_Ending_3_M49-53		1411264
	115879475	Victory_Stinger_Ending_2_M49-53	Y:\Documents\GitHub\MetroidvaniaHorrorGame\Metroidvania Horror Unity Project Settings\Assets\StreamingAssets\Audio\Metroidvania Horror Game\.cache\Windows\SFX\Victory_Stinger_Ending_2_M49-53_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Silent_Space_Music\Victory\Normal Ending\Victory_Stinger_Ending_2_M49-53		1411264
